Rk,Player,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
490,Ana Rute,MF,pt Portugal,25,1998,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
491,Johanna Rytting Kaneryd,"FW,DF",se Sweden,26,1997,5.6,0,0,0,3,1,3,12,5,5,0,0,0,45,2,5,28.6,Matches
492,Adriana Sachs,DF,ar Argentina,29,1993,1.0,0,0,0,0,0,0,0,1,3,0,0,0,5,0,0,,Matches
493,Eunice Sakala,GK,zm Zambia,21,2002,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
494,María Paula Salas,FW,cr Costa Rica,20,2002,1.8,0,0,0,1,4,0,0,0,0,0,0,0,7,5,17,22.7,Matches
495,Deysiré Salazar,MF,pa Panama,19,2004,1.3,1,0,0,4,1,0,0,3,2,0,0,0,11,0,3,0.0,Matches
496,Gabriela Salgado,MF,za South Africa,25,1998,0.4,0,0,0,0,1,0,1,2,0,0,0,0,2,0,0,,Matches
497,Cecilia Salvai,DF,it Italy,29,1993,2.0,0,0,0,0,0,0,1,7,4,0,0,0,24,2,1,66.7,Matches
498,Duda Sampaio,MF,br Brazil,22,2001,0.3,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,,Matches
499,Vyan Sampson,MF,jm Jamaica,26,1996,3.9,0,0,0,1,0,0,0,10,3,0,0,0,25,5,5,50.0,Matches
500,Anna Sandberg,DF,se Sweden,20,2003,1.0,0,0,0,4,1,0,3,3,2,0,0,0,9,0,1,0.0,Matches
501,Leicy Santos,"MF,FW",co Colombia,27,1996,4.2,0,0,0,6,3,0,12,3,9,0,0,0,28,4,8,33.3,Matches
502,Paige Satchell,FW,nz New Zealand,25,1998,0.1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,Matches
503,Jaclyn Sawicki,MF,ph Philippines,30,1992,2.8,0,0,0,2,2,0,0,2,2,0,1,0,26,1,1,50.0,Matches
504,Sophie Schmidt,MF,ca Canada,34,1988,1.2,0,0,0,0,2,0,7,3,3,0,0,0,20,10,2,83.3,Matches
505,Olivia Schough,"FW,MF",se Sweden,32,1991,1.4,1,0,0,1,0,1,4,2,1,0,0,0,10,1,0,100.0,Matches
506,Lea Schüller,"FW,MF",de Germany,25,1997,1.6,0,0,0,2,1,2,2,0,0,0,0,0,3,2,3,40.0,Matches
507,Sheika Scott,FW,cr Costa Rica,16,2006,1.3,0,0,0,1,2,1,0,2,0,0,0,0,8,4,1,80.0,Matches
508,Caroline Seger,MF,se Sweden,38,1985,0.8,0,0,0,1,1,0,0,1,0,0,0,0,3,6,2,75.0,Matches
509,Ana Seiça,DF,pt Portugal,22,2001,1.0,0,0,0,1,0,0,3,3,2,0,0,0,13,3,0,100.0,Matches
510,Kiko Seike,"DF,MF",jp Japan,26,1996,0.5,0,0,0,1,0,1,1,0,2,0,0,0,6,0,1,0.0,Matches
511,Jang Sel-gi,DF,kr Korea Republic,29,1994,3.0,0,0,0,2,2,0,5,4,5,0,0,0,26,1,3,25.0,Matches
512,Linda Sembrant,"DF,FW",se Sweden,36,1987,0.3,0,0,0,0,0,0,0,2,2,0,0,0,2,1,0,100.0,Matches
513,Shim Seo-yeon,DF,kr Korea Republic,34,1989,3.0,1,0,0,2,0,0,0,3,1,0,1,0,33,4,2,66.7,Matches
514,Lim Seon-joo,DF,kr Korea Republic,32,1990,1.0,1,0,0,2,0,0,0,1,1,0,0,0,2,1,5,16.7,Matches
515,Jermaine Seoposenwe,"FW,MF",za South Africa,29,1993,3.3,0,0,0,0,4,2,2,2,5,0,0,0,24,9,9,50.0,Matches
516,Meryll Serrano,MF,ph Philippines,25,1997,0.3,0,0,0,0,2,0,0,0,0,0,0,0,4,0,3,0.0,Matches
517,Annamaria Serturini,FW,it Italy,25,1998,0.4,0,0,0,0,0,0,3,0,0,0,0,0,3,1,0,100.0,Matches
518,Rikke Sevecke,DF,dk Denmark,26,1996,3.7,1,0,0,2,1,0,1,5,5,0,0,0,12,5,3,62.5,Matches
519,Wang Shanshan,DF,cn China PR,33,1990,3.0,0,0,0,1,1,0,0,4,3,0,0,0,24,4,3,57.1,Matches
520,Khadija Shaw,FW,jm Jamaica,26,1997,3.0,2,1,1,5,7,1,4,0,1,0,0,0,16,11,17,39.3,Matches
521,Kailen Sheridan,GK,ca Canada,27,1995,3.0,0,0,0,0,1,0,0,0,0,0,0,0,5,3,0,100.0,Matches
