Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
462,Tomás Martínez,ar ARG,"MF,FW",pe Melgar,27,1995,4.9,0,0,0,6,6,1,20,2,4,0,0,0,30,3,12,20.0,Matches
463,Walter Martínez,cl CHI,MF,cl Ñublense,23,2000,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,Matches
464,Marcelo Martins Moreno,bo BOL,"FW,MF",ec Independiente,35,1987,1.2,0,0,0,1,1,2,1,0,1,0,0,0,0,4,4,50.0,Matches
465,Gastón Martirena,uy URU,DF,ar Racing Club,23,2000,2.3,1,0,0,1,3,0,12,1,3,0,0,0,19,5,4,55.6,Matches
466,Gastón Martirena,uy URU,DF,uy Liverpool,23,2000,6.0,1,0,0,3,3,0,21,12,11,0,0,0,50,2,6,25.0,Matches
467,Jonathan Marulanda,co COL,DF,co Independiente,27,1995,2.0,1,0,0,5,1,0,6,2,0,0,0,0,17,5,4,55.6,Matches
468,Guillermo Matías Fernández,ar ARG,MF,ar Boca Juniors,31,1991,13.8,2,0,0,14,10,1,17,13,14,0,0,0,88,9,12,42.9,Matches
469,Mauricio,br BRA,"FW,MF",br Internacional,21,2001,5.5,1,0,0,6,2,0,7,2,7,0,0,0,20,1,2,33.3,Matches
470,Sergio Maximiliano Ojeda,ar ARG,DF,ar Patronato,31,1992,4.7,0,0,0,0,2,0,1,8,5,0,0,0,42,11,2,84.6,Matches
471,Camilo Mayada,uy URU,FW,py Libertad,32,1991,0.3,0,0,0,1,1,0,0,0,0,0,0,0,2,1,1,50.0,Matches
472,Maycon,br BRA,MF,br Corinthians,25,1997,3.1,0,0,0,1,2,0,3,4,3,0,0,0,12,1,0,100.0,Matches
473,Mayke,br BRA,"DF,FW",br Palmeiras,30,1992,10.0,0,0,0,12,2,0,29,15,7,0,0,0,55,7,10,41.2,Matches
474,Alan Medina,uy URU,"FW,MF",uy Liverpool,24,1998,4.9,0,0,0,3,6,0,19,1,6,0,0,0,19,3,2,60.0,Matches
475,Cristian Medina,ar ARG,"MF,FW",ar Boca Juniors,20,2002,10.6,1,0,0,14,14,0,6,3,8,0,0,0,52,2,9,18.2,Matches
476,Maicol Medina,co COL,MF,co Pereira,25,1997,3.8,3,1,1,6,5,0,0,6,6,0,0,0,19,4,5,44.4,Matches
477,Yaimar Medina,ec ECU,DF,ec Independiente,18,2004,2.2,0,0,0,0,2,0,5,3,1,0,0,0,14,2,1,66.7,Matches
478,Marcos Mejía,ec ECU,DF,ec SD Aucas,24,1998,0.7,0,0,0,2,0,0,0,2,1,0,0,0,6,1,0,100.0,Matches
479,Antonio Melgar,bo BOL,"FW,MF",bo Bolívar,28,1994,0.9,0,0,0,1,2,0,2,0,1,0,0,0,4,0,1,0.0,Matches
480,Lorenzo Melgarejo,py PAR,"FW,MF",py Libertad,32,1990,2.5,1,0,0,3,7,1,6,2,3,0,0,0,9,7,6,53.8,Matches
481,Marcelo Meli,ar ARG,MF,uy Liverpool,30,1992,4.4,3,0,0,7,5,1,4,4,3,0,0,0,23,1,3,25.0,Matches
482,Felipe Melo,br BRA,DF,br Fluminense,39,1983,8.4,4,0,0,7,7,0,0,11,7,0,0,0,44,25,9,73.5,Matches
483,Yair Mena Palacios,co COL,"FW,MF",co Nacional,22,2000,0.5,0,0,0,1,1,0,3,0,2,0,0,0,3,0,1,0.0,Matches
484,Vitor Mendes,br BRA,DF,br Fluminense,23,1999,0.9,1,0,0,2,0,0,0,0,0,0,0,0,2,4,2,66.7,Matches
485,Bruno Méndez,uy URU,DF,br Corinthians,23,1999,1.8,1,0,0,1,0,0,3,1,1,0,0,0,7,2,1,66.7,Matches
486,Víctor Mendoza,ec ECU,GK,ec Barcelona,28,1994,3.0,1,0,0,1,1,0,0,0,0,0,1,0,4,1,1,50.0,Matches
487,Gabriel Menino,br BRA,MF,br Palmeiras,22,2000,8.2,3,0,0,9,7,0,22,12,7,0,0,0,54,7,7,50.0,Matches
488,Gabriel Mercado,ar ARG,DF,br Internacional,35,1987,10.7,3,0,0,7,4,1,0,16,9,0,0,0,50,19,11,63.3,Matches
489,Patrik Mercado,ec ECU,"MF,FW",ec Independiente,19,2003,0.7,0,0,0,1,0,0,3,0,1,0,0,0,2,1,1,50.0,Matches
490,Miguel Merentiel,uy URU,FW,ar Boca Juniors,26,1996,6.5,2,0,0,5,3,2,3,3,3,0,0,0,17,2,14,12.5,Matches
